Day of week,Wholesale ($/kWh),Retail ($/kWh),Wholesale w variance ($/kWh),Retail w variance ($/kWh),Bldg Load (kWh),Wind Production (kWh),PV generation (kWh),GHI (Irradiance),apparentTemperature,cloudCover,precipIntensity,windSpeed
2,0.025787898,0.084109113,0.02529593,0.08371617,2460.3,1567.84,0,0,26.21,0.92,0,8.01
2,0.025446132,0.084502701,0.025143146,0.093358042,2537.1,1521.91,0,0,27.29,0.98,0,6.7
2,0.025208476,0.084300103,0.021538344,0.068303102,2656.2,1411.49,0,0,27.18,0.98,0,6.85
2,0.025748675,0.084208746,0.028270597,0.103746015,2579.4,1468.47,0,0,27.83,0.95,0,8.19
2,0.026474366,0.088970905,0.024133503,0.079154303,2740.4,1514.66,0,0,27.75,0.98,0,9.37
2,0.027883204,0.089893575,0.022062823,0.103290862,2550.1,1634.08,0,0,27.44,0.98,0,10.29
2,0.02935374,0.096510015,0.030676769,0.116978287,2692,1717.27,0,0,27.83,0.98,0,10.45
2,0.029636454,0.09816429,0.027685807,0.113920151,2666.6,1646.31,3,0.00237989,28.49,0.94,0,10.25
2,0.029698489,0.099009393,0.032693083,0.085133059,2509.6,1580.15,31,0.01973091,29.19,0.92,0,9.83
2,0.029083344,0.099475402,0.033788868,0.085399807,2546.8,1351.54,87,0.066830983,28.95,0.96,0,10.66
2,0.029250367,0.098717919,0.032061706,0.110470245,2540.9,1497.06,154,0.09397841,29.94,1,0,9.29
2,0.029528672,0.095254546,0.022909166,0.089245592,2596.8,1730.78,131,0.128847061,30.24,0.98,0,9.15
2,0.029259236,0.095776999,0.018828694,0.093020947,2744.1,1431.3,203,0.103870844,30.1,0.98,0,9.47
2,0.02896564,0.093940193,0.031950157,0.087613155,2551.5,1467.72,119,0.077567739,30.56,0.98,0.0009,8.87
2,0.029641431,0.095682359,0.033100204,0.094755083,2590.3,1630.06,71,0.039853798,30.09,0.94,0,9.65
2,0.030222852,0.098886603,0.033522992,0.092455169,2571.3,1663.93,15,0.010347257,29.92,0.98,0,9.59
2,0.031490284,0.1037886,0.034558483,0.115050624,2590.5,2051.92,0,0.000149747,29.84,0.82,0,9.2
2,0.03078858,0.100736219,0.034279836,0.104664188,2478.1,1705.61,0,0,28.71,0.82,0,9.75
2,0.029103534,0.095073333,0.019770543,0.101937048,2625.8,1085.05,0,0,27.66,0.79,0,11.42
2,0.028242711,0.092416652,0.018910873,0.073615816,2596.1,2029.31,0,0,26.19,0.72,0,13.47
2,0.027120873,0.091507716,0.029120794,0.081930215,2457.2,1631.38,0,0,25.72,0.75,0,13.84
2,0.027058133,0.089511458,0.030791263,0.070659376,2622.4,1779.66,0,0,25.28,0.46,0,14.43
2,0.026814456,0.087272359,0.022735076,0.08824592,2597.3,1491.94,0,0,23.54,0.85,0,16.22
3,0.02606997,0.085581321,0.021873274,0.090340244,2526.4,1328.51,0,0,23.32,0.85,0,15.39
3,0.026004198,0.083133556,0.026170033,0.078476947,2461.4,1397.61,0,0,23.34,0.92,0,14.87
3,0.025094003,0.086397547,0.023176588,0.079117385,2536.5,1892.92,0,0,23.14,0.79,0,15.17
3,0.025342747,0.084995219,0.031834091,0.07029739,2655.8,1958.94,0,0,22.76,0.83,0,15.55
3,0.025694832,0.084299031,0.02499607,0.077863226,2579.8,1730.85,0,0,22.81,0.91,0,15.86
3,0.026167457,0.086700257,0.029554243,0.101665244,2739.9,1949.31,0,0,23.11,0.92,0,15.87
3,0.027449626,0.090095487,0.024514579,0.084687783,2550.1,1948.8,0,0,23.8,0.95,0,15.04
3,0.029048177,0.095390308,0.035511773,0.108908862,2692.1,1678.05,0,0,23.82,0.84,0,16.3
3,0.029587021,0.098811327,0.032225287,0.069440717,2665.8,1690,2,0.002224332,24.32,0.72,0.0007,17.29
3,0.029717569,0.098493295,0.036826986,0.08871194,2508.9,1586.01,25,0.021953278,23.62,0.8,0,17.9
3,0.029897003,0.09945016,0.03294247,0.11269299,2546.8,1223.99,79,0.054980726,23.65,0.76,0,16.28
3,0.029932689,0.096911705,0.023145882,0.106122491,2540.6,1045.6,120,0.101170205,23.79,0.85,0,15.32
3,0.028972099,0.095374289,0.033503165,0.112452905,2596.8,1265.41,140,0.109812135,24.77,0.74,0,15.59
3,0.02888488,0.095062884,0.022444061,0.125262151,2744.1,1402.68,132,0.116005238,24.64,0.7,0,16.48
3,0.029171325,0.096028603,0.029398167,0.088720086,2551,1941.39,106,0.074817109,24.52,0.85,0,15.28
3,0.029166003,0.095208582,0.030269351,0.080430073,2590.4,1482.94,49,0.033213487,23.72,0.88,0,14.08
3,0.030064692,0.098681324,0.029718494,0.099686978,2571.6,1268.2,13,0.010611134,24.73,0.79,0,14.27
3,0.031472917,0.102187498,0.035350809,0.094103106,2590.5,1731.02,0,0.000119771,25.67,0.87,0,13.18
3,0.029625257,0.099909109,0.03621372,0.11826706,2478.4,2008.14,0,0,25.43,0.89,0,14.01
3,0.028815008,0.095375949,0.03164611,0.095861576,2626.3,2171.39,0,0,25.1,0.96,0,14.89
3,0.028307624,0.091723523,0.030943825,0.060851245,2595.6,1712.77,0,0,25.74,0.9,0,13.51
